image,enthalpy_mev_per_atom,base_energy_mev_per_atom,field_energy_mev_per_atom,polarization_magnitude_c_per_m2
0,0.0000000000000000e+00,0.0000000000000000e+00,7.5926600884194811e-02,2.8104260185397127e-03
1,1.1399777796759736e+01,1.1788456372960354e+01,-3.1275197521962167e-01,6.1184751721582900e-02
2,5.3655423442251049e+00,5.6163141029173858e+00,-1.7484515782409951e-01,4.2928241995451526e-02
3,1.8310180994376424e+00,1.9264762020611670e+00,-1.9531501657814847e-02,2.5057200976575180e-02
4,-5.3855026635574177e-03,4.6526367950718850e-01,-3.9472258123310838e-01,1.6173180990066205e-02
5,-9.3716062710882397e-01,3.8629447626590263e-01,-1.2475285024548299e+00,4.2887564534931082e-02
6,-1.4299580407168833e+00,7.8601770601380849e-01,-2.1400491458189279e+00,7.5800538462501885e-02
7,-1.6519112628884614e+00,1.3468108541928814e+00,-2.9227955161050394e+00,1.0556221419133585e-01
8,-1.6596986772128730e+00,1.6997182070554118e+00,-3.2834902832401176e+00,1.1971534173753771e-01
9,-1.6122085191454971e+00,1.6701987384294625e+00,-3.2064806566498527e+00,1.1689706740654676e-01
10,-1.4969701833251747e+00,1.7986047854719800e+00,-3.2196483678087611e+00,1.1451353916622513e-01
11,-1.2488614318499458e+00,2.2140363191283541e+00,-3.3869711500881392e+00,1.1744899426420918e-01
12,-1.0454910077896784e+00,2.6453312404555618e+00,-3.6148956472096643e+00,1.2384910739396356e-01
13,-1.0089260307722725e+00,2.9774911812637583e+00,-3.9104906110211828e+00,1.3355853486694247e-01
14,-1.1733116920368047e+00,3.1404995459524798e+00,-4.2378846369719811e+00,1.4502716234410398e-01
15,-1.5165487975536962e+00,3.1714075656054774e+00,-4.6120297622804234e+00,1.5855925362239767e-01
16,-1.9327763442561263e+00,3.1462028269743314e+00,-5.0030525702973803e+00,1.7294079770708859e-01
17,-2.3545130761704058e+00,3.1276161686037085e+00,-5.4062026437364832e+00,1.8799773222310975e-01
18,-2.7075362986579421e+00,3.1138650119828526e+00,-5.7454747096785974e+00,2.0108640990470131e-01
19,-3.0112301792541984e+00,3.0805574820988113e+00,-6.0158610603310558e+00,2.1233435702126599e-01
20,-3.2469226096509374e+00,3.0190610232239123e+00,-6.1900570318975427e+00,2.2085837322631527e-01
21,-3.4254680620506406e+00,2.9491750845409115e+00,-6.2987165455536429e+00,2.2782550194804649e-01
22,-3.5221621725213481e+00,2.9064933787594782e+00,-6.3527289503009019e+00,2.3251314124887676e-01
23,-3.5721664409720688e+00,2.8930783113537473e+00,-6.3893181513646109e+00,2.3568496692592225e-01
24,-3.5961322475486668e+00,2.9031669006144512e+00,-6.4233725471269736e+00,2.3796233701697145e-01
25,-3.5958934760856209e+00,2.9627092637383612e+00,-6.4826761389489294e+00,2.4118114991010814e-01
26,-3.5048804229518282e+00,3.2324680409146822e+00,-6.6614218629099806e+00,2.5065539678423548e-01
27,-3.3092904328441364e+00,3.6684359032733482e+00,-6.9017997351342286e+00,2.6336374621154651e-01
28,-3.1290042283217190e+00,4.0995598368681385e+00,-7.1526374641792545e+00,2.7633360007686719e-01
29,-3.0499153654091060e+00,4.4720809557475150e+00,-7.4460697202042088e+00,2.9098665577623950e-01
30,-3.1418467395269545e+00,4.6816861691695522e+00,-7.7476063077318305e+00,3.0534424981808406e-01
31,-3.4393674926832318e+00,4.7221458124113269e+00,-8.0855867042365386e+00,3.2112220275131798e-01
32,-3.8895279376447434e+00,4.5979754302607034e+00,-8.4115767670186070e+00,3.3621603548196377e-01
33,-4.4815082083005109e+00,4.3428338833109592e+00,-8.7484154906717411e+00,3.5208282062686214e-01
34,-5.0896888536954066e+00,4.0281368632349768e+00,-9.0418991160652773e+00,3.6677235966020616e-01
35,-5.7063202610152075e+00,3.6613390117054223e+00,-9.2917326717928432e+00,3.8082688212018512e-01
36,-6.2544089694711147e+00,3.2965851782137179e+00,-9.4750675467300205e+00,3.9316563196436932e-01
37,-6.7094745456415694e+00,2.9796211294524255e+00,-9.6131690740598525e+00,4.0462442685867561e-01
38,-6.9856970272667240e+00,2.7918137599044712e+00,-9.7015841861422594e+00,4.1350232476623605e-01
39,-7.1226723750442034e+00,2.6990612330337171e+00,-9.7458070071183354e+00,4.1895955839661830e-01
40,-7.2164566154242493e+00,2.6155798566833255e+00,-9.7561098712124839e+00,4.2200382687347932e-01
41,-7.3345369273738470e+00,2.4867067835657508e+00,-9.7453171100000411e+00,4.2471402493660965e-01
42,-7.4677038342997548e+00,2.3275727533473400e+00,-9.7193499866087230e+00,4.2703225753255275e-01
43,-7.6494708982863813e+00,2.1043511065727216e+00,-9.6778954039893978e+00,4.2996905156859694e-01
44,-7.8283064161951188e+00,1.8774930289509939e+00,-9.6298728442309436e+00,4.3269837320385457e-01
45,-8.0401143113704165e+00,1.6012036134270602e+00,-9.5653913237843771e+00,4.3607866943354107e-01
46,-8.2148543515359052e+00,1.3583551222836832e+00,-9.4972828728066983e+00,4.3889895664968465e-01
47,-8.3633810365427053e+00,1.1254871731580351e+00,-9.4129416086905966e+00,4.4152534306791108e-01
48,-8.4263291000752361e+00,9.7337480747228255e-01,-9.3237773066676759e+00,4.4260426887073684e-01
49,-8.2521144739075680e+00,4.6582303821196547e-01,-8.6420109111461922e+00,4.3468330023216167e-01
50,-7.4725913587826653e+00,1.3120296534907538e-01,-7.5278677232295106e+00,4.1505735194033366e-01
