image,enthalpy_mev_per_atom,base_energy_mev_per_atom,field_energy_mev_per_atom,polarization_magnitude_c_per_m2
0,0.0000000000000000e+00,0.0000000000000000e+00,7.5926600884194811e-02,2.8104260185397127e-03
1,-8.1159119454241591e-01,1.7013527212839108e-01,-9.0579986563525361e-01,3.1553120439653935e-02
2,-1.2751046766425134e+00,5.6645596960152034e-01,-1.7656340453854313e+00,6.2020493237528951e-02
3,-1.5276657970389351e+00,9.4161921424529282e-01,-2.3933584102768584e+00,8.5344807181068461e-02
4,-1.6533434170924011e+00,1.3270269058921258e+00,-2.9044437220623096e+00,1.0466756242037145e-01
5,-1.6961047242148197e+00,1.7261928765947232e+00,-3.3463709999005338e+00,1.2156539150866021e-01
6,-1.6857315864399425e+00,1.7150278521512519e+00,-3.3248328375940330e+00,1.2072995164790695e-01
7,-1.6625514219413162e+00,1.7124865042205784e+00,-3.2991113251584068e+00,1.1960231901325083e-01
8,-1.6248372929112520e+00,1.7176898803882068e+00,-3.2666005723094584e+00,1.1800857576370782e-01
9,-1.5335131352912867e+00,1.8493203251637169e+00,-3.3069068594186461e+00,1.1782702157248570e-01
10,-1.3770626044788514e+00,2.0828118696954334e+00,-3.3839478733018398e+00,1.1874919221811009e-01
11,-1.1476262510768720e+00,2.5103102574576042e+00,-3.5820099075083740e+00,1.2361748673392779e-01
12,-1.0051742905488936e+00,2.8775519103874103e+00,-3.8067995999426278e+00,1.3028945104512460e-01
13,-1.0225325078863534e+00,3.1223634539855993e+00,-4.0689693609014483e+00,1.3897177318956247e-01
14,-1.2159049767433316e+00,3.2423842381831491e+00,-4.3823626139479810e+00,1.4995613776929487e-01
15,-1.5589756683766609e+00,3.2325667098120903e+00,-4.7156157771521530e+00,1.6203960496999678e-01
16,-1.9664464689412853e+00,3.1907012160445447e+00,-5.0812210840768897e+00,1.7555630792900742e-01
17,-2.3620581627255888e+00,3.1387371174787404e+00,-5.4248686791745682e+00,1.8862649601293163e-01
18,-2.7126007433253108e+00,3.1045552610521554e+00,-5.7412294034265532e+00,2.0105342300498810e-01
19,-2.9992593381393817e+00,3.0485380220852676e+00,-5.9718707592637763e+00,2.1101683785910516e-01
20,-3.2361279751057737e+00,3.0068940344790462e+00,-6.1670954086653484e+00,2.2011151482998775e-01
21,-3.3972604582231725e+00,2.9559713273556554e+00,-6.2773051845437386e+00,2.2650265471756653e-01
22,-3.5037601679505315e+00,2.9296620039531263e+00,-6.3574955709313077e+00,2.3166162639281904e-01
23,-3.5645945104988641e+00,2.9144924499632907e+00,-6.4031603594572619e+00,2.3527052746394594e-01
24,-3.5929268744439469e+00,2.9294409798239940e+00,-6.4464412532596089e+00,2.3859961201756819e-01
25,-3.5886902178390301e+00,2.9986498919242877e+00,-6.5114135087417591e+00,2.4291240535574224e-01
26,-3.4705428624874912e+00,3.3185059899551561e+00,-6.7131222514769844e+00,2.5344510287180055e-01
27,-3.2852395816007629e+00,3.7280747294062166e+00,-6.9373877101440868e+00,2.6501856734672286e-01
28,-3.1145005283178762e+00,4.1481092017420451e+00,-7.1866831291192153e+00,2.7771717335566271e-01
29,-3.0476483359962003e+00,4.4912038525581011e+00,-7.4629255875245706e+00,2.9125043158284675e-01
30,-3.1392181988849188e+00,4.6866462171237799e+00,-7.7499378150818599e+00,3.0515863351712513e-01
31,-3.4048042196445749e+00,4.7343751910375431e+00,-8.0632528096946210e+00,3.1985452862530078e-01
32,-3.8310693396852002e+00,4.6200215960197966e+00,-8.3751643347751603e+00,3.3462142646985243e-01
33,-4.3783396120488760e+00,4.3831139319081558e+00,-8.6855269429758408e+00,3.4946057671699748e-01
34,-4.9693973067405750e+00,4.0652099562066724e+00,-8.9586806619827790e+00,3.6359883550578231e-01
35,-5.5710544158500852e+00,3.7178265303737135e+00,-9.2129543452661231e+00,3.7737795162512972e-01
36,-6.1223715179949068e+00,3.3532333131006453e+00,-9.3996782302309843e+00,3.8955737575074167e-01
37,-6.5632590829409310e+00,3.0599510226238635e+00,-9.5472835045308848e+00,4.0021363155226364e-01
38,-6.8786412279223441e+00,2.8447864422560087e+00,-9.6475010693182792e+00,4.0913250556628628e-01
39,-7.0722274991567247e+00,2.7062070208557998e+00,-9.7025079190810111e+00,4.1539510043057265e-01
40,-7.2153114562752307e+00,2.6001090407589800e+00,-9.7394938960088862e+00,4.2091220922345640e-01
41,-7.3329755241502426e+00,2.4715308456507046e+00,-9.7285797689376832e+00,4.2368276587640485e-01
42,-7.4759677576366812e+00,2.3078766445905785e+00,-9.7079178012592635e+00,4.2662896239978920e-01
43,-7.6429813187132822e+00,2.1063638392661233e+00,-9.6734185569869808e+00,4.2951317110773218e-01
44,-7.8286345400556456e+00,1.8735985380772036e+00,-9.6263064771449081e+00,4.3243072198475296e-01
45,-8.0213441566229449e+00,1.6275948521069949e+00,-9.5730124077295677e+00,4.3577864349150819e-01
46,-8.2007447894284269e+00,1.3655537468366674e+00,-9.4903719352293070e+00,4.3806449235046352e-01
47,-8.3417021709465189e+00,1.1028802106011426e+00,-9.3686557806199726e+00,4.3981952785638717e-01
48,-8.4057451758781099e+00,8.4998523961985484e-01,-9.1798038145448899e+00,4.4009600619882344e-01
49,-8.1955892639598460e+00,3.5381522138777655e-01,-8.4734778844005216e+00,4.2936625104208709e-01
50,-7.4725913587826653e+00,1.3120296534907538e-01,-7.5278677232295106e+00,4.1505735194033366e-01
