iteration,image,frozen,U,field_term,pv,H,px,py,pz,Px,Py,Pz
1,0,0,-3.1364615200129757e+05,2.4296512282942339e-02,0.0000000000000000e+00,-3.1364612770478526e+05,7.3110449429406776e-01,-3.1186191008930653e-01,1.9536548752085992e-06,1.6134709725811448e-04,-6.8824654110307765e-05,4.3115114955412066e-10
1,1,0,-3.1364570849085442e+05,-2.1770395920903071e-01,0.0000000000000000e+00,-3.1364592619481363e+05,-6.5509131989729248e+00,-7.4078614801378233e+00,5.8391517438909570e+00,-1.4457371635332105e-03,-1.6348591896806861e-03,1.2886567755128336e-03
1,2,0,-3.1364477401919855e+05,-4.5999797445203860e-01,0.0000000000000000e+00,-3.1364523401717300e+05,-1.3841763894818818e+01,-1.4508898296167656e+01,1.1678276360672193e+01,-3.0548137316166097e-03,-3.2020472305810802e-03,2.5773419673448365e-03
1,3,0,-3.1364381072493410e+05,-7.0258553344608521e-01,0.0000000000000000e+00,-3.1364451331046753e+05,-2.1141447593243729e+01,-2.1614972358178999e+01,1.7517375803998700e+01,-4.6658826865644681e-03,-4.7703888227988217e-03,3.8660560076331286e-03
1,4,0,-3.1364312795859959e+05,-9.4546663619116922e-01,0.0000000000000000e+00,-3.1364407342523581e+05,-2.8449964294247614e+01,-2.8726083666171682e+01,2.3356450073870445e+01,-6.2789441079529008e-03,-6.3398840123233546e-03,5.1547988973637236e-03
1,5,0,-3.1364289966063888e+05,-1.1886412826872890e+00,0.0000000000000000e+00,-3.1364408830192155e+05,-3.5767313997830428e+01,-3.5842232220145732e+01,2.9195499170287501e+01,-7.8939980753616676e-03,-7.9105328451462373e-03,6.4435706375226406e-03
1,6,0,-3.1364317316573061e+05,-1.4321094729344459e+00,0.0000000000000000e+00,-3.1364460527520353e+05,-4.3093496703992216e+01,-4.2963418020101145e+01,3.5034523093249653e+01,-9.5110446683743469e-03,-9.4823353672612454e-03,7.7323712290959376e-03
1,7,0,-3.1364387522511417e+05,-1.6758712069326387e+00,0.0000000000000000e+00,-3.1364555109632108e+05,-5.0428512412732928e+01,-5.0089641066038084e+01,4.0873521842757107e+01,-1.1130083966578202e-02,-1.1055291624664331e-02,9.0212006730697961e-03
1,8,0,-3.1364481783779251e+05,-1.9199264846818689e+00,0.0000000000000000e+00,-3.1364673776427720e+05,-5.7772361124052622e+01,-5.7220901357956414e+01,4.6712495418809809e+01,-1.2751116049564231e-02,-1.2629401663353508e-02,1.0310058970430367e-02
1,9,0,-3.1364570139381092e+05,-2.1642753061821396e+00,0.0000000000000000e+00,-3.1364786566911708e+05,-6.5125042837951383e+01,-6.4357198895855930e+01,5.2551443821407787e+01,-1.4374140996927152e-02,-1.4204665529328924e-02,1.1598946122163865e-02
1,10,0,-3.1364611001634866e+05,-2.4089176714334437e+00,0.0000000000000000e+00,-3.1364851893402007e+05,-7.2486557554429012e+01,-7.1498533679737022e+01,5.8390367050550836e+01,-1.5999158888265405e-02,-1.5781083268593066e-02,1.2887862129256536e-02
2,0,0,-3.1364615200129757e+05,2.4296512282942339e-02,0.0000000000000000e+00,-3.1364612770478526e+05,7.3110449429406776e-01,-3.1186191008930653e-01,1.9536548752085992e-06,1.6134709725811448e-04,-6.8824654110307765e-05,4.3115114955412066e-10
2,1,0,-3.1364571267012693e+05,-2.2294885480628776e-01,0.0000000000000000e+00,-3.1364593561898172e+05,-6.7087369515594188e+00,-7.3951487523250234e+00,5.8608500485632415e+00,-1.4805878521668033e-03,-1.6320758268982109e-03,1.2934630539146274e-03
2,2,0,-3.1364478537895181e+05,-4.6530977124769735e-01,0.0000000000000000e+00,-3.1364525068872306e+05,-1.4001600766253627e+01,-1.4497608581890580e+01,1.1719333438664469e+01,-3.0901585779392381e-03,-3.1996276902074307e-03,2.5864613166590809e-03
2,3,0,-3.1364382821294194e+05,-7.0798355350777120e-01,0.0000000000000000e+00,-3.1364453619649546e+05,-2.1303879002387124e+01,-2.1605729829574109e+01,1.7566895092117061e+01,-4.7018622569621211e-03,-4.7684820970121077e-03,3.8770930400225819e-03
2,4,0,-3.1364314919502154e+05,-9.5095787038123736e-01,0.0000000000000000e+00,-3.1364410015289194e+05,-2.8615200602604457e+01,-2.8719141610741623e+01,2.3405625198596937e+01,-6.3156055005924930e-03,-6.3385461191764660e-03,5.1658102035325570e-03
