iteration,image,frozen,U,field_term,pv,H,px,py,pz,Px,Py,Pz
1,25,0,-3.1364519243333215e+05,-2.0836523227973629e+00,0.0000000000000000e+00,-3.1364727608565497e+05,-6.2699022806368973e+01,-2.7917115476599015e+01,-9.0802787226206183e-01,-1.3849275403081973e-02,-6.1664728314679207e-03,-2.0056976191588124e-04
1,26,0,-3.1364509007938078e+05,-2.1481991204726349e+00,0.0000000000000000e+00,-3.1364723827850126e+05,-6.4641295562356760e+01,-3.0728837898459364e+01,-8.5431402154692471e-01,-1.4285672276619395e-02,-6.7910474850443646e-03,-1.8880268452180083e-04
1,27,0,-3.1364495901738416e+05,-2.2199640672461078e+00,0.0000000000000000e+00,-3.1364717898145138e+05,-6.6800769091226002e+01,-3.3678578169963487e+01,-8.2378449232902051e-01,-1.4769279862501474e-02,-7.4461469999550648e-03,-1.8213418616454296e-04
1,28,0,-3.1364482460635301e+05,-2.2997386013181491e+00,0.0000000000000000e+00,-3.1364712434495433e+05,-6.9201258499379918e+01,-3.6781723782625789e+01,-8.1887060103756282e-01,-1.5305164342434034e-02,-8.1349723906559649e-03,-1.8110868784532196e-04
1,29,0,-3.1364471481606475e+05,-2.3881361880078624e+00,0.0000000000000000e+00,-3.1364710295225278e+05,-7.1861223524852804e+01,-3.9852370423181632e+01,-8.2941120206751018e-01,-1.5896609756859588e-02,-8.8158473990361877e-03,-1.8347622765809329e-04
1,30,0,-3.1364465227450809e+05,-2.4799801008261952e+00,0.0000000000000000e+00,-3.1364713225460891e+05,-7.4624891686483451e+01,-4.2914942365974184e+01,-8.5081359884321417e-01,-1.6510189562713860e-02,-9.4946045149638461e-03,-1.8823603601934009e-04
1,31,0,-3.1364463700123644e+05,-2.5802408991022787e+00,0.0000000000000000e+00,-3.1364721724213555e+05,-7.7641831705179769e+01,-4.5978560917326789e+01,-9.1585609256932843e-01,-1.7176807234287893e-02,-1.0171899096684981e-02,-2.0261607964308214e-04
1,32,0,-3.1364467359438684e+05,-2.6800525871280514e+00,0.0000000000000000e+00,-3.1364735364697396e+05,-8.0645257581656338e+01,-4.9096736239357305e+01,-9.8767135177632603e-01,-1.7838507962187982e-02,-1.0860062284957372e-02,-2.1847017172519395e-04
1,33,0,-3.1364474940483936e+05,-2.7793686217522691e+00,0.0000000000000000e+00,-3.1364752877346112e+05,-8.3633768789506036e+01,-5.2276946772124454e+01,-1.0670634369742040e+00,-1.8494548356202935e-02,-1.1560384447400594e-02,-2.3596755975358789e-04
1,34,0,-3.1364485113411158e+05,-2.8667778118344893e+00,0.0000000000000000e+00,-3.1364771791192342e+05,-8.6263992048199057e+01,-5.5672984012137604e+01,-1.1616515439141417e+00,-1.9066624537244895e-02,-1.2305202412083672e-02,-2.5675572512974369e-04
1,35,0,-3.1364496229680785e+05,-2.9481453904851591e+00,0.0000000000000000e+00,-3.1364791044219834e+05,-8.8712417639023258e+01,-5.9150884523037845e+01,-1.1779005406477596e+00,-1.9596037244109250e-02,-1.3066073126898689e-02,-2.6019111505125314e-04
1,36,0,-3.1364507896663737e+05,-3.0078970336739150e+00,0.0000000000000000e+00,-3.1364808686367102e+05,-9.0510399767817290e+01,-6.2807123059768621e+01,-6.3064885919460700e-01,-1.9975566552345433e-02,-1.3861477464027926e-02,-1.3918365503100898e-04
1,37,0,-3.1364517281697033e+05,-3.0551307214498835e+00,0.0000000000000000e+00,-3.1364822794769180e+05,-9.1931705056944637e+01,-6.6198703039750058e+01,8.4294571241518979e-01,-2.0270232092898743e-02,-1.4596303571585385e-02,1.8586302975437987e-04
1,38,0,-3.1364524166963605e+05,-3.0872003421818497e+00,0.0000000000000000e+00,-3.1364832886997820e+05,-9.2896709563534145e+01,-6.9268933507802487e+01,3.4378903966107508e+00,-2.0462442572491413e-02,-1.5257930884965683e-02,7.5726723951460189e-04
1,39,0,-3.1364528601505089e+05,-3.1048025341059233e+00,0.0000000000000000e+00,-3.1364839081758499e+05,-9.3426375775509428e+01,-7.1393175657052183e+01,7.0854410854359910e+00,-2.0563327474701992e-02,-1.5713777167408072e-02,1.5595193983830181e-03
1,40,0,-3.1364531996640452e+05,-3.1166380467228438e+00,0.0000000000000000e+00,-3.1364843660445127e+05,-9.3782517281159997e+01,-7.3109512020984283e+01,1.1164189249163414e+01,-2.0628619511021372e-02,-1.6081337437295472e-02,2.4557009008361608e-03
1,41,0,-3.1364536111142696e+05,-3.1131455260600589e+00,0.0000000000000000e+00,-3.1364847425695299e+05,-9.3677424108804985e+01,-7.3544630528001306e+01,1.6425825464579830e+01,-2.0604881199734793e-02,-1.6176558966307243e-02,3.6129535533784380e-03
1,42,0,-3.1364541348077130e+05,-3.1065336964029644e+00,0.0000000000000000e+00,-3.1364852001446771e+05,-9.3478468047889095e+01,-7.3776058955850488e+01,2.1734873126567436e+01,-2.0562708366344502e-02,-1.6228716798720039e-02,4.7810781115084494e-03
1,43,0,-3.1364547796486900e+05,-3.0954939382358337e+00,0.0000000000000000e+00,-3.1364857345880725e+05,-9.3146271528573223e+01,-7.3717605412827155e+01,2.7111043144396454e+01,-2.0494335091526265e-02,-1.6219578977049492e-02,5.9650568269031135e-03
1,44,0,-3.1364555244976538e+05,-3.0804180726863706e+00,0.0000000000000000e+00,-3.1364863286783808e+05,-9.2692624810466953e+01,-7.3432665011193194e+01,3.2459868778859189e+01,-2.0401279818666494e-02,-1.6162238902901187e-02,7.1442886334137298e-03
1,45,0,-3.1364563117094489e+05,-3.0633639704734619e+00,0.0000000000000000e+00,-3.1364869453491538e+05,-9.2179451124103679e+01,-7.3040939962128931e+01,3.7789593731932825e+01,-2.0296035392405810e-02,-1.6082125511575306e-02,8.3204979254578228e-03
1,46,0,-3.1364571502409858e+05,-3.0369190192733782e+00,0.0000000000000000e+00,-3.1364875194311788e+05,-9.1383698118544018e+01,-7.2159043124127692e+01,4.2949084052018435e+01,-2.0132621724861327e-02,-1.5897263397695868e-02,9.4620559295695329e-03
1,47,0,-3.1364579907963017e+05,-2.9979698497983915e+00,0.0000000000000000e+00,-3.1364879704947997e+05,-9.0211681636483917e+01,-7.1169303505858522e+01,4.7987632421769447e+01,-1.9887334616951205e-02,-1.5689406600130996e-02,1.0578963678923635e-02
