iteration,image,frozen,U,field_term,pv,H,px,py,pz,Px,Py,Pz
1,0,0,-3.1364615200129757e+05,2.4296512282942339e-02,0.0000000000000000e+00,-3.1364612770478526e+05,7.3110449429406776e-01,-3.1186191008930653e-01,1.9536548752085992e-06,1.6134709725811448e-04,-6.8824654110307765e-05,4.3115114955412066e-10
1,1,0,-3.1364608020015265e+05,-3.4557761020947725e-01,0.0000000000000000e+00,-3.1364642577776284e+05,-1.0398749458741479e+01,3.8582205199270998e+00,3.3367849530452354e-03,-2.2951780283519442e-03,8.5157383597017796e-04,7.3648428014840145e-07
1,2,0,-3.1364588918851700e+05,-7.1552826800131331e-01,0.0000000000000000e+00,-3.1364660471678502e+05,-2.1530906429622711e+01,8.0272797325226879e+00,6.6716114728012088e-03,-4.7528175533394189e-03,1.7719735183006010e-03,1.4727179378460511e-06
1,3,0,-3.1364558507969702e+05,-1.0855554610925759e+00,0.0000000000000000e+00,-3.1364667063515814e+05,-3.2665366418349933e+01,1.2195315727697468e+01,1.0006433214092780e-02,-7.2115718889592386e-03,2.6923743928811603e-03,2.2091321906911813e-06
1,4,0,-3.1364557118513266e+05,-1.0838279392111094e+00,0.0000000000000000e+00,-3.1364665501307190e+05,-3.2613383689437100e+01,1.1067347039450658e+01,-3.5994391177075169e-01,-7.2029681329098885e-03,2.4443261944278676e-03,-7.9496949804670866e-05
1,5,0,-3.1364554606719763e+05,-1.0788153330945347e+00,0.0000000000000000e+00,-3.1364662488253071e+05,-3.2462549741861565e+01,9.8937944270388805e+00,-7.3317298234910400e-01,-7.1725339525476059e-03,2.1860136376149380e-03,-1.6199307050142927e-04
1,6,0,-3.1364551336732024e+05,-1.0737837121017153e+00,0.0000000000000000e+00,-3.1364658715103235e+05,-3.2311143619098118e+01,8.7211821097492717e+00,-1.1064015183609741e+00,-7.1419488459050964e-03,1.9277013911335689e-03,-2.4455535032487239e-04
1,7,0,-3.1364525176626263e+05,-1.2076606326509323e+00,0.0000000000000000e+00,-3.1364645942689531e+05,-3.6339623804070960e+01,4.6314012261179807e+00,-9.3170261033398294e-01,-8.0365237080926872e-03,1.0242364080614687e-03,-2.0604644002952197e-04
1,8,0,-3.1364508887851774e+05,-1.3441865826568420e+00,0.0000000000000000e+00,-3.1364643306510040e+05,-4.0447815731978402e+01,4.9022015769868332e-01,-7.4655231022404278e-01,-8.9496761963329882e-03,1.0846844500554480e-04,-1.6518571693470064e-04
1,9,0,-3.1364509380648780e+05,-1.4807117033205612e+00,0.0000000000000000e+00,-3.1364657451819110e+05,-4.4555982704213378e+01,-3.6466670805419912e+00,-5.6140227553788513e-01,-9.8637677296499245e-03,-8.0729623468556904e-04,-1.2428278567131628e-04
1,10,0,-3.1364509673394181e+05,-1.6343841018275409e+00,0.0000000000000000e+00,-3.1364673111804365e+05,-4.9180127103583771e+01,-8.2224255162015840e+00,1.4192489427166100e-01,-1.0883807398677650e-02,-1.8196637735364747e-03,3.1408686908779580e-05
1,11,0,-3.1364515245361603e+05,-1.7886104345813358e+00,0.0000000000000000e+00,-3.1364694106405060e+05,-5.3820939896041779e+01,-1.2813238909925886e+01,8.5909679472410172e-01,-1.1906579936793536e-02,-2.8346188978666626e-03,1.9005436693568224e-04
1,12,0,-3.1364519779383636e+05,-1.9429337756160223e+00,0.0000000000000000e+00,-3.1364714072761196e+05,-5.8464671757266430e+01,-1.7407364826370920e+01,1.5762676661856476e+00,-1.2929266255454106e-02,-3.8495804026814459e-03,3.4858631261270212e-04
