iteration,image,frozen,update_rate,U,field_term,pv,H,px,py,pz,Px,Py,Pz,k_left,k_right
0,0,0,1.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3500000000000000e+02
0,1,0,1.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3500000000000000e+02,1.3500000000000000e+02
0,2,0,1.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3500000000000000e+02,1.3500000000000000e+02
0,3,0,1.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3500000000000000e+02,1.3500000000000000e+02
0,4,0,1.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3500000000000000e+02,1.3500000000000000e+02
0,5,0,1.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3500000000000000e+02,1.3500000000000000e+02
0,6,0,1.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3500000000000000e+02,1.3500000000000000e+02
0,7,0,1.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3500000000000000e+02,1.3500000000000000e+02
0,8,0,1.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3500000000000000e+02,1.3500000000000000e+02
0,9,0,1.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2300000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3500000000000000e+02,1.3500000000000000e+02
