iteration,image,U,field_term,pv,H,px,py,pz,Px,Py,Pz,k_left,k_right
0,0,-6.0081903449198393e-03,-0.0000000000000000e+00,0.0000000000000000e+00,-6.0081903449198393e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+01
0,1,-4.9751094515286809e-03,-0.0000000000000000e+00,0.0000000000000000e+00,-4.9751094515286809e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+01,1.5000000000000000e+01
0,2,-1.8742577351922307e-03,-0.0000000000000000e+00,0.0000000000000000e+00,-1.8742577351922307e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+01,0.0000000000000000e+00
