image,enthalpy_mev_per_atom,base_energy_mev_per_atom,field_energy_mev_per_atom,polarization_magnitude_c_per_m2
0,0.0000000000000000e+00,0.0000000000000000e+00,7.5926600884194811e-02,2.8104260185397127e-03
1,-1.6966462784694158e+00,1.7826268471253570e+00,-3.4033465245965702e+00,1.2372630365760420e-01
2,-1.4260032465244876e+00,2.0125873781580594e+00,-3.3626640238056593e+00,1.1875035352446318e-01
3,-1.4209734066753299e+00,3.2988547021886916e+00,-4.6439015079032817e+00,1.5919887217165141e-01
4,-3.1823533297938411e+00,2.9854131820684415e+00,-6.0918399109541728e+00,2.1705354477697864e-01
5,-3.5996487358715967e+00,2.9228333460196154e+00,-6.4465554808664294e+00,2.3990625519422795e-01
6,-3.0827959664748050e+00,4.6321144172907225e+00,-7.6389837828317910e+00,2.9957549026053082e-01
7,-5.2769079098652583e+00,3.8683349292114144e+00,-9.0693162381452481e+00,3.7046762363319341e-01
8,-7.1841664663224947e+00,2.6142708662518999e+00,-9.7225107316456487e+00,4.1904982924875317e-01
9,-7.9522100078975200e+00,1.7571148271599668e+00,-9.6333982341529421e+00,4.3542865915319390e-01
10,-7.4725913587826653e+00,1.3120296534907538e-01,-7.5278677232295106e+00,4.1505735194033366e-01
