image,enthalpy_mev_per_atom,base_energy_mev_per_atom,field_energy_mev_per_atom,polarization_magnitude_c_per_m2
0,0.0000000000000000e+00,0.0000000000000000e+00,7.5926600884194811e-02,2.8104260185397127e-03
1,-1.1599914510952658e+00,4.6643645109725185e-01,-1.5505013011883231e+00,5.4087245971227035e-02
2,-1.5816191666090162e+00,1.0833876965989475e+00,-2.5890802622972648e+00,9.2648717139153861e-02
3,-1.6962267172857537e+00,1.7278100531257223e+00,-3.3481101694955568e+00,1.2163237520569938e-01
4,-1.6734632010411588e+00,1.7140421083240653e+00,-3.3115787083494865e+00,1.2021622480465605e-01
5,-1.6123064140629140e+00,1.7214003473782213e+00,-3.2577801605383376e+00,1.1757796954408921e-01
6,-1.3938624999354943e+00,2.0517774268228095e+00,-3.3697133257659821e+00,1.1844115617606472e-01
7,-1.0499772110051708e+00,2.7237280615736381e+00,-3.6977786715913190e+00,1.2688631129398079e-01
8,-1.0541029516389244e+00,3.1537775317701744e+00,-4.1319538824135273e+00,1.4115043974495750e-01
9,-1.5203617083898280e+00,3.2332731881979271e+00,-4.6777082957207066e+00,1.6065538210267724e-01
10,-2.1981279223837191e+00,3.1615380463335896e+00,-5.2837393677173070e+00,1.8316570162391166e-01
11,-2.7801373180409428e+00,3.1040049647344858e+00,-5.8082156818389343e+00,2.0371583753474387e-01
12,-3.2135659906998626e+00,3.0152286662996630e+00,-6.1528680561007834e+00,2.1931035461850357e-01
13,-3.4676184393902076e+00,2.9444865758705419e+00,-6.3361784142935829e+00,2.3001872783068766e-01
14,-3.5733658743993146e+00,2.9147414652470616e+00,-6.4121807386172325e+00,2.3599252592158126e-01
15,-3.5960529787189444e+00,2.9629193770233542e+00,-6.4830457548511138e+00,2.4144454966996962e-01
16,-3.3824778151029022e+00,3.5121472132232157e+00,-6.8186984274664884e+00,2.5902063669577902e-01
17,-3.0925169401598396e+00,4.2173972124146530e+00,-7.2339875516356242e+00,2.8014002275484362e-01
18,-3.1157782199443318e+00,4.6651407717945403e+00,-7.7049923907031097e+00,3.0305277005738851e-01
19,-3.6135453776296345e+00,4.6905851406336296e+00,-8.2282039173364208e+00,3.2761079280744598e-01
20,-4.4946117541257991e+00,4.3277266408040305e+00,-8.7464117939188011e+00,3.5237929116294869e-01
21,-5.4981429779218161e+00,3.7665206893507275e+00,-9.1887370663518126e+00,3.7581562036815108e-01
22,-6.3934206616977463e+00,3.1843010498050717e+00,-9.5017951106277803e+00,3.9626312252016987e-01
23,-6.9352636759504094e+00,2.8106468771511572e+00,-9.6699839521045217e+00,4.1117078375395488e-01
24,-7.2055448930768762e+00,2.6108343989108107e+00,-9.7404526911242577e+00,4.2068415725034841e-01
25,-7.4146799830486998e+00,2.3834393110519159e+00,-9.7221926930724223e+00,4.2567715394737959e-01
26,-7.6912459666345967e+00,2.0489081865889602e+00,-9.6642275522546921e+00,4.3042194445506271e-01
27,-8.0116010603887844e+00,1.6416144957474899e+00,-9.5772889552325324e+00,4.3568197538547654e-01
28,-8.2973350547035807e+00,1.2166802396677667e+00,-9.4380886934981092e+00,4.3991723706243285e-01
29,-8.4043306856983691e+00,7.9135545111057581e-01,-9.1197595358509105e+00,4.4034633150271724e-01
30,-7.4725913587826653e+00,1.3120296534907538e-01,-7.5278677232295106e+00,4.1505735194033366e-01
