image,enthalpy_mev_per_atom,base_energy_mev_per_atom,field_energy_mev_per_atom,polarization_magnitude_c_per_m2
0,0.0000000000000000e+00,0.0000000000000000e+00,3.7963300442097406e-02,2.8104260185397127e-03
1,-2.6238164518872509e-01,1.9887664111593040e-01,-4.2329498593164494e-01,2.8967898828887121e-02
2,-2.0692659745691344e-01,4.7148407684289850e-01,-6.4044737395285711e-01,4.3931274724214979e-02
3,2.0410692923178431e-02,9.2035807665524771e-01,-8.6198408326819664e-01,5.8906044647930707e-02
4,3.6913647363689961e-01,1.4472297216343577e+00,-1.0401299476817345e+00,7.1411641329114789e-02
5,5.5985405742831063e-01,1.8341202718147542e+00,-1.2363029140259822e+00,8.6542759963650948e-02
6,5.4703354944649618e-01,2.0375707297716872e+00,-1.4525738799085652e+00,1.0375626855637160e-01
7,3.9906746060296427e-01,2.1795019178171060e+00,-1.7424711567710962e+00,1.2552849178505898e-01
8,1.6123951554618543e-01,2.2212949974345975e+00,-2.0220921814686941e+00,1.4677708369636278e-01
9,-1.0804441990330815e-01,2.2113436902145622e+00,-2.2814248097437919e+00,1.6684330011117177e-01
10,-3.2317475106538041e-01,2.1340675966712297e+00,-2.4192790474005372e+00,1.8103004295550137e-01
11,-5.1431830161163816e-01,2.0261329400454997e+00,-2.5024879412693299e+00,1.9257766796267770e-01
12,-6.2954589993751142e-01,1.9633499308838509e+00,-2.5549325304446517e+00,2.0280202845409009e-01
13,-6.0695628326357109e-01,2.0783240688615479e+00,-2.6473170517942526e+00,2.1242867874912608e-01
14,-4.8169029923883500e-01,2.3036413072986761e+00,-2.7473683061058405e+00,2.2268889102798170e-01
15,-2.0701365392596927e-01,2.7124135551275685e+00,-2.8814639087297893e+00,2.3629553644037168e-01
16,2.1629332368320320e-01,3.3280357436524355e+00,-3.0737791195784672e+00,2.5558564104304737e-01
17,4.9859188547998201e-01,3.8099597712061950e+00,-3.2734045854156024e+00,2.7545005550724427e-01
18,5.1468070523696952e-01,4.0317759912795736e+00,-3.4791319857213323e+00,2.9570639620994432e-01
19,2.3631278290849878e-01,3.9718865080430987e+00,-3.6976104247633272e+00,3.1690951034234571e-01
20,-3.0809508079983061e-01,3.6367577504279325e+00,-3.9068895307671765e+00,3.3762794238668675e-01
21,-1.0138283487322042e+00,3.1265296669516829e+00,-4.1023947153870486e+00,3.5763014977341812e-01
22,-1.6617018211036338e+00,2.6281866512363194e+00,-4.2519251719778319e+00,3.7522706878737055e-01
23,-2.1618107452013646e+00,2.2190688738191966e+00,-4.3429163186749298e+00,3.8890428046751269e-01
24,-2.5436517084017396e+00,1.8983803878654726e+00,-4.4040687959367366e+00,4.0073068017735403e-01
25,-2.8157455486507388e+00,1.6409111833127099e+00,-4.4186934315557718e+00,4.0789804266324553e-01
26,-3.1078810019607772e+00,1.3360448805542546e+00,-4.4059625820900763e+00,4.1360617216208445e-01
27,-3.4167098143370822e+00,9.9943563782289857e-01,-4.3781821518143333e+00,4.1935835431177371e-01
28,-3.6914068718033377e+00,6.4893246708379593e-01,-4.3023760385361545e+00,4.2367585284186332e-01
29,-3.8608844572081580e+00,3.5857043185387738e-01,-4.1814915887215953e+00,4.2609950503217053e-01
30,-3.6706941966258455e+00,1.3120296534907538e-01,-3.7639338616147553e+00,4.1505735194033366e-01
