iteration,image,frozen,update_rate,U,field_term,pv,H,px,py,pz,Px,Py,Pz,k_left,k_right
0,25,0,1.0000000000000000e+00,-3.1364604081531218e+05,-1.1573905895168153e+00,0.0000000000000000e+00,-3.1364719820590172e+05,-6.9654160414650704e+01,-6.8751270331383537e+01,5.6144630326141936e+01,-1.5373916150551130e-02,-1.5174632197508264e-02,1.2392121788553537e-02,1.3500000000000000e+02,1.3500000000000000e+02
0,26,0,1.0000000000000000e+00,-3.1364611001634866e+05,-1.2044543971229487e+00,0.0000000000000000e+00,-3.1364731447074580e+05,-7.2486557554429396e+01,-7.1498533679738131e+01,5.8390367050551390e+01,-1.5999158888265492e-02,-1.5781083268593312e-02,1.2887862129256657e-02,1.3500000000000000e+02,0.0000000000000000e+00
1,0,0,1.0000000000000000e+00,-3.1364615200129757e+05,1.2148275501564474e-02,0.0000000000000000e+00,-3.1364613985302206e+05,7.3110449429291691e-01,-3.1186191009052600e-01,1.9536559894284267e-06,1.6134709725785934e-04,-6.8824654110576403e-05,4.3115139545075239e-10,0.0000000000000000e+00,1.3500000000000000e+02
1,1,0,1.0000000000000000e+00,-3.1364607612435793e+05,-3.4372737863417768e-02,0.0000000000000000e+00,-3.1364611049709580e+05,-2.0686262158300663e+00,-3.0404963901705564e+00,2.2458317751615660e+00,-4.5652646287529139e-04,-6.7100912275380492e-04,4.9563407283612960e-04,1.3500000000000000e+02,1.3500000000000000e+02
1,2,0,1.0000000000000000e+00,-3.1364587467998982e+05,-8.0915462998043641e-02,0.0000000000000000e+00,-3.1364595559545280e+05,-4.8696635831391326e+00,-5.7698760249814711e+00,4.4916578727832039e+00,-1.0746947357785353e-03,-1.2733642240939174e-03,9.9127198180835917e-04,1.3500000000000000e+02,1.3500000000000000e+02
1,3,0,1.0000000000000000e+00,-3.1364558318526798e+05,-1.2747989990231895e-01,0.0000000000000000e+00,-3.1364571066516789e+05,-7.6720076076346295e+00,-8.5000008145234567e+00,6.7374802465210735e+00,-1.6931577259790881e-03,-1.8758899607473286e-03,1.4869141581242188e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,4,0,1.0000000000000000e+00,-3.1364523304098629e+05,-1.7406604857623842e-01,0.0000000000000000e+00,-3.1364540710703487e+05,-1.0475658289316243e+01,-1.1230870758796295e+01,8.9832988963750786e+00,-2.3119154380040964e-03,-2.4785863353304059e-03,1.9825606018397815e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,5,0,1.0000000000000000e+00,-3.1364485181992617e+05,-2.2067390901980155e-01,0.0000000000000000e+00,-3.1364507249383518e+05,-1.3280615628183941e+01,-1.3962485857800237e+01,1.1229113822345205e+01,-2.9309678763808464e-03,-3.0814533504596626e-03,2.4782113130111358e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,6,0,1.0000000000000000e+00,-3.1364446352955693e+05,-2.6730348123301440e-01,0.0000000000000000e+00,-3.1364473083303816e+05,-1.6086879624238090e+01,-1.6694846111535153e+01,1.3474925024431561e+01,-3.5503150456368008e-03,-3.6844910087515830e-03,2.9738662916944047e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,7,0,1.0000000000000000e+00,-3.1364408883352141e+05,-3.1395476521587218e-01,0.0000000000000000e+00,-3.1364440278828662e+05,-1.8894450277478395e+01,-1.9427951520000864e+01,1.5720732502634018e+01,-4.1699569502993616e-03,-4.2876993128226929e-03,3.4695255379456626e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,8,0,1.0000000000000000e+00,-3.1364374522852397e+05,-3.6062776096837679e-01,0.0000000000000000e+00,-3.1364410585628496e+05,-2.1703327587904980e+01,-2.2161802083197802e+01,1.7966536256952736e+01,-4.7898935948960837e-03,-4.8910782652896757e-03,3.9651890518210310e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,9,0,1.0000000000000000e+00,-3.1364344718973903e+05,-4.0732246849052889e-01,0.0000000000000000e+00,-3.1364385451220750e+05,-2.4513511555517876e+01,-2.4896397801125673e+01,2.0212336287387448e+01,-5.4101249839546136e-03,-5.4946278687691332e-03,4.4608568333765640e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,10,0,1.0000000000000000e+00,-3.1364320627917396e+05,-4.5403888778232276e-01,0.0000000000000000e+00,-3.1364366031806177e+05,-2.7325002180316748e+01,-2.7631738673784501e+01,2.2458132593938508e+01,-6.0306511220025831e-03,-6.0983481258777717e-03,4.9565288826684392e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,11,0,1.0000000000000000e+00,-3.1364303121860058e+05,-5.0077701884376669e-01,0.0000000000000000e+00,-3.1364353199561941e+05,-3.0137799462302080e+01,-3.0367824701174179e+01,2.4703925176605537e+01,-6.6514720135678763e-03,-6.7022390392323028e-03,5.4522051997526683e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,12,0,1.0000000000000000e+00,-3.1364292794566968e+05,-5.4753686167485505e-01,0.0000000000000000e+00,-3.1364347548253136e+05,-3.2951903401473551e+01,-3.3104655883294917e+01,2.6949714035388865e+01,-7.2725876631782984e-03,-7.3063006114495741e-03,5.9478857846854329e-03,1.3500000000000000e+02,1.3500000000000000e+02
